,State,Customer Lifetime Value,Response,Coverage,Education,EmploymentStatus,Gender,Income,Location Code,Marital Status,Monthly Premium Auto,Months Since Last Claim,Months Since Policy Inception,Number of Open Complaints,Number of Policies,Policy Type,Policy,Renew Offer Type,Sales Channel,Total Claim Amount,Vehicle Class,Vehicle Size
14,1,5384.431665,0,0,0,1,2,83689.0,2,1,70.0,21.0,10.0,2.0,8.0,3,8,2,3,307.13913199999996,4,0
15,0,7463.1393769999995,0,0,3,1,1,24599.0,1,2,64.0,12.0,50.0,1.0,2.0,3,3,3,0,42.920271,4,0
16,4,2566.867823,0,0,4,5,2,25049.0,0,2,67.0,14.0,7.0,0.0,1.0,2,2,3,3,454.24509800000004,5,0
17,1,3945.241604,0,0,0,5,2,28855.0,0,2,101.0,12.0,59.0,0.0,1.0,2,4,1,3,647.4420309999999,3,0
18,0,5710.333114999999,0,0,0,1,2,51148.0,2,2,72.0,9.0,1.0,0.0,7.0,2,4,3,0,308.981664,4,0
19,1,8162.617053,0,2,4,1,1,66140.0,0,2,101.0,11.0,21.0,0.0,3.0,3,3,4,3,484.8,4,1
20,0,2872.051273,0,0,4,1,2,57749.0,0,1,74.0,31.0,21.0,0.0,1.0,2,4,4,0,355.2,5,0
21,3,3041.791561,0,1,3,4,1,13789.0,0,3,79.0,8.0,49.0,0.0,1.0,2,2,2,3,379.2,4,0
22,2,24127.50402,1,0,3,5,2,14072.0,0,3,71.0,13.0,3.0,0.0,2.0,2,2,4,2,511.2,4,0
23,4,2450.1909960000003,0,0,3,2,1,0.0,0,1,73.0,4.0,44.0,3.0,1.0,3,8,4,0,554.376763,4,0
24,1,2392.1078899999998,0,0,3,4,1,17870.0,0,2,61.0,30.0,91.0,0.0,1.0,3,3,3,0,439.2,4,0
25,0,5802.0659780000005,0,0,0,1,2,97541.0,0,2,72.0,22.0,1.0,0.0,3.0,2,2,3,3,389.185006,4,3
26,1,3946.372085,0,2,3,2,1,0.0,0,1,111.0,15.0,47.0,0.0,1.0,2,2,4,2,799.2,4,1
27,3,5346.916576,0,1,2,4,1,10511.0,2,2,139.0,33.0,64.0,0.0,1.0,3,7,4,0,516.237951,3,0
28,2,12902.560140000001,0,2,0,1,1,86584.0,0,1,111.0,33.0,54.0,2.0,2.0,2,2,4,3,532.8,4,3
29,0,3235.360468,0,1,2,1,1,75690.0,0,2,80.0,17.0,44.0,1.0,1.0,2,2,3,0,384.0,4,1
30,2,2454.5835399999996,0,0,0,1,2,23158.0,0,2,63.0,4.0,6.0,1.0,1.0,2,4,2,3,322.29404300000004,4,1
31,4,18975.45611,0,1,4,1,2,65999.0,2,2,237.0,1.0,14.0,0.0,6.0,3,3,3,2,615.927769,1,0
32,1,4715.321344,0,0,3,2,2,0.0,2,2,65.0,19.0,56.0,0.0,3.0,2,2,4,3,308.15089,4,0
33,3,5018.885233,0,0,3,1,2,54500.0,0,2,63.0,28.0,17.0,0.0,6.0,3,3,4,2,302.4,5,1
34,0,4932.916345000001,0,0,3,1,1,37260.0,1,2,62.0,19.0,42.0,0.0,8.0,3,7,1,4,15.437681,4,0
35,2,5744.229745000001,0,0,4,1,1,68987.0,2,2,71.0,11.0,40.0,0.0,6.0,2,0,4,0,204.475147,4,0
36,1,13891.735669999998,0,2,3,1,2,42305.0,0,2,117.0,10.0,62.0,0.0,2.0,2,2,4,2,561.6,4,1
37,0,7380.9767170000005,0,1,2,1,1,65706.0,0,2,91.0,19.0,86.0,0.0,8.0,2,2,3,4,436.8,4,1
38,0,3090.034104,0,1,3,2,2,0.0,0,1,90.0,7.0,79.0,0.0,1.0,2,4,1,2,648.0,5,1
39,2,2521.633095,0,0,4,1,2,53243.0,1,3,66.0,4.0,15.0,2.0,1.0,2,2,4,3,157.397849,4,0
40,4,2652.0617850000003,0,0,4,2,1,0.0,0,2,70.0,7.0,1.0,1.0,1.0,3,8,1,3,484.31853600000005,5,0
41,0,2771.0450309999997,1,0,0,1,1,50071.0,1,1,71.0,3.0,32.0,0.0,1.0,3,8,3,2,18.918935,5,0
42,1,3939.0063700000005,1,1,3,1,1,60021.0,0,2,99.0,12.0,28.0,0.0,1.0,2,4,3,2,882.8719449999999,4,1
43,2,12231.87968,0,0,4,1,2,43244.0,0,2,103.0,15.0,16.0,0.0,2.0,2,4,2,2,494.4,2,0
44,3,2443.665166,0,0,0,1,2,92834.0,0,2,61.0,15.0,56.0,0.0,1.0,1,5,3,3,292.8,4,3
45,0,12819.10289,0,2,1,4,1,10105.0,1,2,172.0,5.0,4.0,3.0,3.0,2,4,4,0,0.517753,3,0
46,2,4468.510542,0,0,3,2,2,0.0,0,1,73.0,7.0,57.0,3.0,5.0,2,2,1,3,579.165954,4,0
47,0,5514.344018,0,0,4,1,1,23218.0,0,1,71.0,7.0,10.0,0.0,4.0,2,4,2,2,447.79344000000003,5,0
48,1,3343.8753260000003,0,1,3,2,1,0.0,0,2,92.0,11.0,77.0,0.0,1.0,3,3,3,3,529.624084,4,0
49,2,2294.478927,0,0,4,2,1,0.0,0,2,62.0,11.0,56.0,0.0,1.0,2,4,2,0,313.023175,4,0
50,0,36707.42639,0,0,0,1,2,24804.0,0,2,104.0,1.0,28.0,0.0,2.0,2,4,4,2,593.830288,3,1
51,1,33473.349460000005,1,0,3,1,1,33190.0,0,3,106.0,18.0,95.0,0.0,2.0,3,7,4,4,508.8,3,0
52,4,7983.431709,0,0,4,1,1,36014.0,1,2,69.0,4.0,40.0,3.0,2.0,1,6,2,0,173.956072,4,0
53,3,4854.745666,0,0,3,1,2,29834.0,0,1,64.0,19.0,44.0,0.0,3.0,2,2,2,2,307.2,4,0
54,1,4293.997319,0,2,3,4,2,16701.0,0,2,113.0,20.0,26.0,0.0,1.0,2,4,4,0,831.625979,4,1
55,2,7164.3955430000005,0,1,0,1,1,46623.0,0,3,91.0,1.0,53.0,0.0,3.0,3,8,1,3,436.8,4,1
56,1,7619.5158,0,0,0,1,2,64749.0,2,2,64.0,24.0,59.0,0.0,2.0,1,5,3,0,302.56519,4,0
57,2,3958.002823,0,0,4,2,1,0.0,0,2,101.0,29.0,12.0,0.0,1.0,2,4,4,3,484.8,3,1
58,0,4499.493252,0,1,4,4,1,16969.0,0,3,124.0,34.0,47.0,2.0,1.0,2,2,4,3,704.7681110000001,3,0
59,0,4059.567414,0,2,2,4,1,11621.0,0,3,108.0,4.0,98.0,0.0,1.0,2,0,4,2,518.4,4,0
60,2,4458.113369,1,0,3,3,2,17622.0,0,3,65.0,1.0,36.0,1.0,3.0,2,0,4,2,312.0,4,0
61,1,8110.333139,0,2,3,5,1,11489.0,0,2,105.0,4.0,50.0,0.0,6.0,2,2,4,3,504.0,5,1
62,0,3339.764873,0,1,3,2,2,0.0,0,1,94.0,20.0,53.0,0.0,1.0,2,2,4,2,863.327324,5,1
63,1,24261.01777,0,0,4,1,1,66525.0,1,2,100.0,0.0,86.0,0.0,2.0,2,2,4,2,104.331355,3,0
64,2,6613.973653,0,0,3,2,1,0.0,0,1,63.0,21.0,28.0,0.0,2.0,2,2,1,0,676.391482,4,3
65,3,2930.693543,0,0,0,1,2,33663.0,0,2,73.0,29.0,71.0,0.0,1.0,2,2,1,4,350.4,4,0
66,0,8672.194272,0,0,0,1,1,22547.0,0,3,112.0,7.0,60.0,0.0,3.0,3,8,4,2,537.6,3,0
67,2,11638.669259999999,0,1,4,1,1,61486.0,2,2,97.0,5.0,65.0,0.0,2.0,2,2,2,0,465.25864400000006,5,1
68,0,6846.150323000001,1,1,3,2,1,0.0,0,3,95.0,13.0,20.0,0.0,5.0,2,2,4,3,456.0,5,3
69,1,11727.77648,0,2,0,4,1,29879.0,0,2,102.0,17.0,0.0,0.0,2.0,2,2,1,4,500.25423499999994,4,0
70,0,22643.83478,0,0,4,1,2,93011.0,1,3,113.0,17.0,12.0,0.0,2.0,2,2,2,2,281.451042,3,0
71,0,2614.474305,0,0,2,1,2,65186.0,1,2,65.0,29.0,27.0,0.0,1.0,2,4,3,4,5.434505000000001,5,3
72,0,2451.752695,0,0,2,5,2,26840.0,0,2,64.0,1.0,47.0,2.0,1.0,2,0,4,2,307.2,4,0
73,0,6781.270203,0,0,3,2,2,0.0,0,1,104.0,30.0,3.0,1.0,5.0,2,2,4,2,982.399613,2,0
74,0,4974.801539,1,0,3,1,2,75644.0,0,3,65.0,5.0,68.0,3.0,9.0,2,2,3,0,467.803638,5,0
75,0,8591.604933,0,0,3,1,2,38984.0,0,2,73.0,27.0,38.0,0.0,2.0,2,2,3,0,350.4,4,1
76,0,5592.161392,0,0,4,1,1,71811.0,1,1,71.0,17.0,48.0,0.0,6.0,2,0,3,3,29.034159999999996,4,0
77,4,8009.472833,0,0,0,1,2,20961.0,0,2,67.0,20.0,33.0,0.0,2.0,2,0,3,2,321.6,4,0
78,3,11318.089820000001,0,1,0,1,2,38923.0,1,2,99.0,6.0,83.0,2.0,2.0,2,2,4,2,115.728852,4,0
79,1,58166.553510000005,0,0,3,1,2,61321.0,1,1,186.0,0.0,30.0,1.0,2.0,2,2,3,0,427.63120999999995,6,1
80,1,8025.229358,0,1,0,2,1,0.0,1,1,77.0,20.0,26.0,0.0,2.0,2,2,1,0,25.807685,5,3
81,1,5780.182197,1,0,4,1,2,51066.0,0,1,74.0,23.0,0.0,0.0,8.0,2,2,3,3,787.993313,4,0
82,1,4118.539113,0,0,1,1,2,34378.0,0,2,102.0,12.0,54.0,0.0,1.0,2,0,1,0,489.6,3,0
83,4,2523.07015,0,0,2,1,2,43072.0,0,2,63.0,35.0,15.0,0.0,1.0,2,2,3,3,302.4,4,3
84,0,6554.216396,0,1,0,4,1,25222.0,0,1,90.0,28.0,69.0,0.0,3.0,2,2,3,2,475.623251,4,1
85,3,7703.397293999999,0,0,4,1,2,36765.0,0,2,66.0,15.0,32.0,1.0,2.0,2,4,4,3,320.84907200000004,4,0
86,1,5926.729379,1,1,0,3,2,23091.0,0,2,96.0,28.0,90.0,5.0,5.0,2,0,4,2,460.8,4,0
87,1,2683.470677,0,0,3,1,1,48269.0,2,2,69.0,3.0,79.0,3.0,1.0,3,3,1,4,282.151207,4,0
88,0,2695.182419,0,0,3,1,1,32720.0,0,3,67.0,13.0,12.0,0.0,1.0,2,4,1,0,321.6,4,0
89,1,6047.02516,1,1,0,1,2,20396.0,0,2,76.0,15.0,60.0,1.0,4.0,2,2,4,0,364.8,4,0
90,0,13171.01282,0,2,0,5,2,21513.0,0,2,119.0,21.0,81.0,1.0,2.0,2,2,3,0,679.827592,5,1
91,3,10656.88195,1,1,3,1,1,72540.0,0,2,88.0,7.0,3.0,0.0,2.0,3,8,3,3,631.743039,5,0
92,0,2527.653796,0,0,3,1,1,80744.0,1,2,63.0,24.0,84.0,0.0,1.0,3,8,4,2,11.879037,4,0
93,0,2672.0957559999997,0,0,3,1,2,52822.0,0,2,67.0,23.0,88.0,0.0,1.0,3,7,4,0,350.529033,5,1
94,1,5313.294035,0,1,4,2,1,0.0,0,1,77.0,8.0,10.0,1.0,9.0,2,4,4,2,863.3947,4,0
95,0,20946.19251,0,0,3,1,1,69738.0,0,2,74.0,2.0,26.0,1.0,2.0,2,2,4,0,492.12753200000003,4,3
96,2,8375.353929,0,0,2,5,1,17780.0,1,2,109.0,12.0,18.0,0.0,9.0,2,2,4,0,132.58828799999998,3,0
97,1,4801.661503,0,0,3,5,2,18107.0,0,2,62.0,29.0,11.0,0.0,8.0,2,4,4,2,297.6,4,0
98,2,5745.94334,0,0,3,1,1,57740.0,2,2,74.0,30.0,87.0,3.0,9.0,2,0,1,4,269.905129,4,0
99,0,6066.1159689999995,0,1,0,1,2,32627.0,0,2,76.0,11.0,60.0,0.0,7.0,2,4,4,2,380.036697,5,1
100,1,8002.308333,1,0,0,2,1,0.0,0,2,107.0,3.0,65.0,0.0,3.0,2,2,4,2,513.6,3,0
101,1,2393.9153690000003,1,0,0,2,2,0.0,0,1,70.0,24.0,10.0,0.0,1.0,2,0,4,0,425.266308,4,0
102,0,4762.8179,0,0,3,1,2,65795.0,1,1,62.0,2.0,85.0,1.0,3.0,3,8,1,3,49.011099,5,0
103,1,4330.38602,1,2,0,1,2,60475.0,0,2,107.0,9.0,18.0,0.0,1.0,2,2,3,0,513.6,4,0
104,1,9402.729769,0,1,4,2,1,0.0,0,1,130.0,28.0,88.0,0.0,4.0,2,2,4,4,936.0,3,0
105,0,6966.694527,0,1,3,1,1,41837.0,1,2,88.0,29.0,93.0,0.0,9.0,2,2,4,3,142.062768,4,1
106,1,7694.064293,0,0,3,1,1,32303.0,1,2,65.0,13.0,34.0,0.0,2.0,2,0,1,0,45.152521,4,0
107,0,8717.561149,0,0,4,2,2,0.0,0,2,117.0,5.0,89.0,1.0,3.0,2,0,4,2,561.6,3,0
108,1,5928.748528,0,0,3,1,1,40531.0,1,2,74.0,17.0,32.0,0.0,9.0,2,2,4,2,30.567357,5,0
109,0,2452.977288,0,0,0,1,2,79898.0,2,2,62.0,5.0,86.0,1.0,1.0,3,7,2,2,271.606799,4,0
110,1,6701.571657,0,1,0,1,2,56398.0,0,2,85.0,4.0,18.0,0.0,7.0,2,2,2,2,408.0,4,1
111,3,7556.24034,0,1,4,1,2,35257.0,0,3,98.0,16.0,2.0,1.0,8.0,3,3,3,4,470.4,4,1
112,2,8492.6988,0,0,0,1,2,27804.0,0,2,109.0,19.0,54.0,0.0,7.0,2,2,3,0,784.8,3,0
113,0,7713.494046,0,0,3,1,2,45506.0,0,1,66.0,16.0,32.0,2.0,2.0,2,2,4,2,316.8,4,0
114,3,24084.5352,0,0,4,1,2,65196.0,0,2,67.0,0.0,54.0,0.0,2.0,2,4,2,0,396.08203599999996,4,0
115,1,7290.069769,0,0,4,2,2,0.0,0,2,102.0,11.0,70.0,1.0,3.0,3,3,4,2,489.6,3,0
116,0,4772.943848,1,1,4,3,2,20993.0,0,3,133.0,35.0,90.0,0.0,1.0,2,2,3,2,638.4,3,0
117,2,6806.491395,0,1,4,1,2,37839.0,0,2,86.0,35.0,77.0,0.0,9.0,2,2,3,0,465.633954,5,0
118,1,2469.781334,0,0,3,1,1,92711.0,0,1,62.0,24.0,10.0,0.0,1.0,2,4,1,2,368.400146,5,0
119,1,3103.923041,0,1,0,1,1,74665.0,2,2,78.0,10.0,90.0,2.0,1.0,3,3,3,3,236.90200099999998,4,0
120,3,2981.875575,0,1,0,2,2,0.0,0,2,83.0,26.0,89.0,0.0,1.0,2,4,1,4,582.679087,5,0
121,1,8902.737595,0,0,3,1,2,46833.0,1,2,112.0,6.0,3.0,0.0,9.0,2,2,4,3,64.109663,2,0
122,0,5499.447223,0,0,4,1,1,88768.0,0,2,68.0,17.0,77.0,0.0,7.0,2,2,1,0,326.4,5,1
123,1,15023.598580000002,0,0,4,1,2,28262.0,0,1,192.0,9.0,77.0,0.0,3.0,2,2,1,4,921.6,1,0
124,4,2509.107875,0,0,3,1,1,33555.0,1,2,63.0,17.0,11.0,0.0,1.0,2,2,4,2,101.89645,4,0
125,0,31221.7481,0,2,0,1,2,42780.0,0,3,113.0,10.0,27.0,1.0,2.0,2,4,4,3,542.4,4,0
126,0,3133.503432,0,1,2,1,1,58850.0,1,1,78.0,20.0,26.0,0.0,1.0,2,2,3,0,143.747794,4,0
127,2,3837.4518630000002,0,1,0,1,2,21880.0,2,2,97.0,29.0,37.0,0.0,1.0,1,5,4,0,424.077159,4,0
128,0,11790.49617,1,0,0,3,2,25251.0,0,3,66.0,13.0,43.0,0.0,2.0,2,4,3,4,316.8,4,0
129,3,7838.068321,0,0,2,2,1,0.0,1,2,69.0,9.0,12.0,0.0,2.0,2,0,3,2,2.704934,4,0
130,2,4305.808345,0,0,4,1,2,24188.0,0,2,109.0,14.0,82.0,0.0,1.0,2,2,4,2,523.2,2,0
131,4,5973.976904,0,0,3,1,1,41611.0,1,2,74.0,14.0,8.0,0.0,8.0,1,5,4,0,113.801497,4,0
132,0,5670.442396,0,0,3,1,1,28406.0,2,2,72.0,16.0,35.0,1.0,4.0,2,2,4,3,192.87572,4,0
133,2,4731.7493460000005,0,2,0,1,2,69833.0,0,2,118.0,32.0,99.0,0.0,1.0,2,2,4,2,828.662719,4,1
134,2,8026.3796409999995,0,0,4,2,1,0.0,0,1,74.0,15.0,91.0,0.0,2.0,3,3,4,4,532.8,4,1
135,2,4022.963529,0,0,4,2,2,0.0,0,1,117.0,6.0,1.0,0.0,1.0,2,2,4,2,975.1070980000001,3,0
136,0,9618.310865000001,0,0,4,1,1,80536.0,1,2,119.0,5.0,83.0,0.0,3.0,1,5,4,0,53.798708,2,0
137,3,2274.775451,0,0,0,2,1,0.0,0,1,63.0,2.0,5.0,0.0,1.0,2,4,3,2,606.6424519999999,4,1
138,0,9552.926922,0,1,0,1,1,97732.0,2,2,79.0,0.0,70.0,0.0,2.0,2,2,2,0,289.9122,4,0
139,2,10388.55323,0,1,3,1,1,61222.0,2,1,89.0,20.0,55.0,0.0,2.0,1,9,1,0,392.604371,4,1
140,0,2470.1212219999998,0,0,0,2,2,0.0,0,1,74.0,7.0,20.0,0.0,1.0,2,0,2,4,721.242206,5,3
141,2,5619.068507999999,0,2,2,1,2,50335.0,2,2,140.0,9.0,54.0,0.0,1.0,2,4,4,3,456.52385,3,0
142,1,9047.119209,0,1,4,2,1,0.0,0,1,127.0,30.0,11.0,0.0,6.0,2,4,1,0,1087.995426,2,0
143,3,6692.143668,0,2,4,1,2,63221.0,0,2,168.0,28.0,49.0,0.0,1.0,3,8,1,2,806.4,3,0
144,0,3731.5045840000002,1,1,4,2,1,0.0,0,2,96.0,31.0,34.0,0.0,1.0,2,0,4,2,460.8,4,3
145,4,3660.770258,0,1,3,1,2,64495.0,2,2,92.0,34.0,30.0,0.0,1.0,3,3,2,4,251.992083,4,0
146,1,7928.8292519999995,0,0,0,2,1,0.0,0,2,72.0,7.0,75.0,0.0,2.0,3,8,4,3,345.6,4,0
147,2,5011.751577,0,0,3,1,1,28859.0,0,3,67.0,24.0,51.0,3.0,4.0,3,3,4,3,321.6,5,0
148,2,7988.258292,0,1,4,1,1,77330.0,1,2,99.0,0.0,21.0,0.0,3.0,2,2,3,4,99.25760799999999,4,0
149,0,3885.456401,1,2,0,2,2,0.0,0,2,105.0,3.0,92.0,0.0,1.0,3,3,4,0,504.0,4,3
150,3,2659.337982,0,0,3,1,2,24495.0,0,1,70.0,29.0,65.0,0.0,1.0,2,4,2,0,336.0,4,1
151,3,8564.768226,1,0,4,1,2,95697.0,1,2,107.0,29.0,29.0,0.0,9.0,2,2,3,2,178.006524,2,0
152,2,4885.1625109999995,0,1,4,4,2,26372.0,0,2,126.0,11.0,7.0,0.0,1.0,2,2,2,2,604.8,3,0
153,2,9753.307106,0,1,3,5,1,17514.0,1,2,127.0,2.0,5.0,0.0,3.0,2,0,4,0,8.312729,3,0
154,1,2946.1536969999997,0,0,3,1,1,89270.0,2,1,74.0,17.0,90.0,0.0,1.0,2,2,3,0,316.599228,4,0
155,1,2581.110945,0,0,4,1,2,29757.0,0,2,65.0,13.0,55.0,0.0,1.0,2,4,3,4,312.0,4,1
156,0,3517.385764,0,1,0,1,2,51814.0,1,1,92.0,28.0,89.0,0.0,1.0,2,4,1,2,56.300724,4,0
157,0,9743.350113,0,1,3,1,1,24028.0,0,2,82.0,14.0,27.0,0.0,2.0,2,4,3,2,393.6,4,1
158,2,3873.647046,1,0,0,3,2,28142.0,0,2,105.0,18.0,50.0,0.0,1.0,2,2,3,2,701.7082389999999,2,0
159,2,7649.28199,0,0,3,1,1,52705.0,1,2,64.0,14.0,8.0,1.0,2.0,2,4,4,4,128.70556299999998,5,3
160,1,2287.59692,0,0,4,2,2,0.0,0,2,63.0,1.0,5.0,0.0,1.0,3,8,3,2,679.368378,5,0
161,3,4475.424592,0,0,0,1,1,84903.0,2,2,111.0,7.0,63.0,0.0,1.0,2,0,4,2,497.12682699999993,3,0
162,1,8714.922134999999,1,0,0,2,1,0.0,0,3,118.0,14.0,64.0,0.0,4.0,2,2,4,2,566.4,3,0
163,3,2248.4496329999997,1,0,3,3,1,24910.0,0,1,63.0,7.0,63.0,1.0,1.0,2,0,4,0,347.857619,4,0
164,1,7416.197322,0,1,3,2,2,0.0,0,1,77.0,15.0,12.0,2.0,2.0,2,2,4,2,554.4,4,0
165,0,7771.1589730000005,0,0,2,5,2,21876.0,0,2,68.0,12.0,28.0,0.0,2.0,2,2,4,2,465.41477000000003,4,1
166,1,6968.3419,0,0,3,2,1,0.0,0,1,69.0,33.0,61.0,1.0,2.0,2,2,4,2,496.8,4,1
167,1,4250.282624,1,0,4,2,1,0.0,0,1,61.0,17.0,1.0,1.0,7.0,2,0,4,2,292.8,4,1
168,0,19776.56654,0,1,4,1,1,70699.0,2,3,82.0,1.0,57.0,0.0,2.0,2,4,1,2,256.81383700000004,4,0
169,1,21343.46599,0,0,4,2,1,0.0,0,2,74.0,11.0,85.0,1.0,2.0,2,4,4,2,355.2,4,0
170,1,2413.139714,0,0,0,5,2,27501.0,0,2,63.0,20.0,0.0,0.0,1.0,2,0,2,0,542.319401,4,0
171,0,15363.84716,0,2,1,4,1,15897.0,2,3,101.0,30.0,99.0,0.0,2.0,2,2,3,2,303.14839900000004,4,0
172,4,8456.961887000001,0,0,0,1,1,25141.0,1,3,73.0,12.0,4.0,1.0,2.0,2,2,1,2,25.438063,4,0
173,4,2189.642522,0,0,0,2,1,0.0,0,2,61.0,5.0,46.0,3.0,1.0,2,4,1,2,292.8,4,1
174,1,5780.182197,1,0,4,1,2,51066.0,0,1,74.0,23.0,0.0,0.0,8.0,2,4,3,3,787.993313,4,0
175,1,4639.981638,0,0,3,1,1,28358.0,1,2,117.0,24.0,37.0,0.0,1.0,2,4,3,3,84.024413,2,0
176,3,4465.335703,0,0,0,1,1,61846.0,1,2,112.0,1.0,48.0,0.0,1.0,2,4,3,2,215.8182,3,0
177,2,5968.118877,0,0,3,1,1,90972.0,2,2,74.0,3.0,47.0,0.0,8.0,2,2,3,3,232.92614500000002,5,0
178,3,5097.763336999999,0,0,0,2,1,0.0,0,1,74.0,3.0,95.0,0.0,7.0,2,2,1,4,532.8,5,0
179,1,4076.634665,0,0,3,1,1,29549.0,0,3,104.0,17.0,51.0,0.0,1.0,2,4,3,3,710.433775,2,1
180,1,12252.60179,0,2,3,2,1,0.0,0,2,115.0,12.0,17.0,1.0,2.0,2,4,4,2,552.0,4,0
181,4,16936.27147,0,1,3,1,1,39411.0,0,2,217.0,4.0,29.0,2.0,4.0,2,2,1,0,1122.658899,6,0
182,0,4892.435461,0,0,4,1,2,21709.0,0,2,62.0,28.0,17.0,0.0,3.0,2,4,3,0,408.374746,4,3
183,4,9942.304791,0,1,3,1,2,67890.0,0,1,85.0,23.0,57.0,0.0,2.0,2,4,2,2,408.0,4,1
184,1,3735.8381289999998,0,0,3,2,2,0.0,0,1,110.0,3.0,16.0,0.0,1.0,2,2,4,2,792.0,3,0
185,1,13117.52215,0,0,4,1,1,84311.0,0,1,111.0,11.0,98.0,4.0,2.0,2,2,1,3,532.8,3,1
186,1,4574.524093999999,0,0,0,1,1,99316.0,0,1,114.0,26.0,53.0,0.0,1.0,3,8,3,0,754.358929,3,0
187,2,5470.060561,1,1,3,1,1,54507.0,0,2,138.0,20.0,11.0,0.0,1.0,2,0,3,2,702.990032,3,0
188,1,2978.84601,0,1,3,1,1,64586.0,2,1,76.0,3.0,17.0,0.0,1.0,2,0,1,0,206.83711100000002,4,0
189,0,6410.967544,0,1,0,1,2,61709.0,2,2,82.0,5.0,41.0,2.0,7.0,2,2,1,0,275.395894,4,0
190,1,4479.023088,0,0,2,1,2,94656.0,2,2,111.0,12.0,79.0,1.0,1.0,1,5,2,4,459.738128,3,0
191,1,2383.731879,0,0,4,2,1,0.0,0,1,69.0,5.0,40.0,0.0,1.0,1,9,2,0,496.8,5,1
192,1,2764.493659,0,0,3,1,2,61085.0,0,2,70.0,27.0,34.0,1.0,1.0,2,2,3,0,336.0,5,0
193,0,7920.105377,0,0,3,1,1,89284.0,0,2,67.0,7.0,31.0,3.0,2.0,2,4,2,2,321.6,5,1
194,2,6889.097981,0,0,4,2,1,0.0,0,3,63.0,6.0,12.0,0.0,2.0,2,4,4,0,302.4,4,1
195,3,3274.194616,0,1,3,1,1,31686.0,0,2,81.0,11.0,33.0,0.0,1.0,2,2,4,2,430.99410700000004,4,1
196,0,9951.707743,0,2,4,1,2,56855.0,0,1,255.0,12.0,1.0,0.0,1.0,3,8,2,4,1836.0,1,0
197,0,2521.555686,0,0,3,1,2,53703.0,1,1,67.0,3.0,45.0,2.0,1.0,1,9,4,0,67.632476,4,0
198,3,23706.11337,0,1,4,2,1,0.0,0,1,96.0,12.0,35.0,1.0,2.0,2,0,1,0,844.481918,5,0
199,1,6047.02516,1,1,0,1,2,20396.0,0,2,76.0,15.0,60.0,1.0,4.0,2,0,4,0,364.8,4,0
200,1,11140.30248,0,2,2,4,1,27679.0,0,1,150.0,30.0,28.0,0.0,3.0,2,0,4,3,722.4869940000001,3,0
201,4,4334.064096,1,1,3,3,1,23904.0,0,1,123.0,1.0,67.0,3.0,1.0,2,2,4,2,590.4,3,0
202,2,2799.74791,0,0,4,1,1,65351.0,0,2,69.0,4.0,54.0,0.0,1.0,3,7,3,3,481.027516,4,0
203,1,7923.136624,0,0,0,2,2,0.0,0,1,113.0,20.0,1.0,0.0,7.0,2,4,4,2,1124.4277339999999,3,0
204,1,3688.110888,0,0,4,2,2,0.0,0,1,63.0,0.0,54.0,3.0,7.0,2,4,4,3,669.682001,4,0
205,1,12067.45599,0,0,0,2,2,0.0,0,1,116.0,14.0,35.0,0.0,2.0,2,4,4,2,1284.093173,3,0
